ticker,observations,first_date,last_date,cumulative_return_historical,annualized_volatility_historical,maximum_drawdown_historical,best_daily_return_historical,worst_daily_return_historical,mean_daily_return_historical,median_daily_return_historical
AGG,2887,2015-01-02,2026-06-26,0.23212741645644197,0.052033221714691366,-0.1843295840541469,0.023720958097783518,-0.04001038447206984,7.771422367462691e-05,0.00017902765401334175
EFA,2887,2015-01-02,2026-06-26,1.377918514036589,0.17299020733852535,-0.34193382869233835,0.08473117357774163,-0.10990180488182866,0.0003599134804386105,0.0006141153020815526
GLD,2887,2015-01-02,2026-06-26,2.274631848949761,0.16044392888109807,-0.26210926006964697,0.06358720612372104,-0.10274245274560045,0.00046233325063704627,0.0005569608677559179
IWM,2887,2015-01-02,2026-06-26,1.8969275918542512,0.22452325282895072,-0.4113328807118388,0.09149145959888094,-0.1326693745954377,0.00046911860671934293,0.0009193690048180381
QQQ,2887,2015-01-02,2026-06-26,6.501915756417798,0.21937034938700042,-0.3511872615886331,0.12003089231326824,-0.11978820117855371,0.0007941345706533633,0.0012280484873821162
SPY,2887,2015-01-02,2026-06-26,3.3163368662159023,0.17650192291615088,-0.337172726376749,0.10501930911064017,-0.10942342758062051,0.0005688122807020533,0.0006535924700574736
TLT,2887,2015-01-02,2026-06-26,-0.06119768604947917,0.14850149470289517,-0.48351120061560793,0.07519556399091964,-0.06668360446529453,2.1847296185440302e-05,0.00033789649813331657
VNQ,2887,2015-01-02,2026-06-26,0.8882434809991011,0.2029870929666068,-0.42398169582698664,0.08996641228753255,-0.17727725854685794,0.00030287649576021304,0.0007442701379898331
